Academic Year,District ID,District,School ID,School,Subject,Student Group,Grade Level,Number Proficient,Percent Proficient (Level 3 or 4),Number Level 4,Percent Level 4,Number Level 3,Percent Level 3,Number Level 2,Percent Level 2,Number Level 1,Percent Level 1,Number of Participants,Participation Rate
2018-2019,2252,Amity SD 4J,1208,Amity Elementary School,English Language Arts,Econo. Disadvantaged,Grade 4,4,17.4,1,4.3,3,13,10,43.5,9,39.1,23,95.8
2018-2019,2252,Amity SD 4J,1208,Amity Elementary School,English Language Arts,Econo. Disadvantaged,Grade 5,11,40.7,0,0,11,40.7,7,25.9,9,33.3,27,90
2018-2019,2252,Amity SD 4J,1208,Amity Elementary School,English Language Arts,Homeless,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,1208,Amity Elementary School,English Language Arts,Homeless,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,1208,Amity Elementary School,English Language Arts,Homeless,Grade 5,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,1208,Amity Elementary School,English Language Arts,Military-connected,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,1208,Amity Elementary School,English Language Arts,Military-connected,Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2252,Amity SD 4J,1208,Amity Elementary School,English Language Arts,Military-connected,Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2252,Amity SD 4J,1208,Amity Elementary School,English Language Arts,Total Population (All Students),Grade 3,22,48.9,9,20,13,28.9,12,26.7,11,24.4,45,86.5
2018-2019,2252,Amity SD 4J,1208,Amity Elementary School,English Language Arts,Total Population (All Students),Grade 4,20,40,7,14,13,26,16,32,14,28,50,98
2018-2019,2252,Amity SD 4J,1208,Amity Elementary School,English Language Arts,Total Population (All Students),Grade 5,36,52.2,11,15.9,25,36.2,17,24.6,16,23.2,69,94.5
2018-2019,2252,Amity SD 4J,1210,Amity High School,English Language Arts,Econo. Disadvantaged,Grade HS (11),16,76.2,3,14.3,13,61.9,2,9.5,3,14.3,21,100
2018-2019,2252,Amity SD 4J,1210,Amity High School,English Language Arts,Homeless,Grade HS (11),*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2252,Amity SD 4J,1210,Amity High School,English Language Arts,Military-connected,Grade HS (11),*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2252,Amity SD 4J,1210,Amity High School,English Language Arts,Total Population (All Students),Grade HS (11),29,59.2,7,14.3,22,44.9,10,20.4,10,20.4,49,94.2
2018-2019,2252,Amity SD 4J,1209,Amity Middle School,English Language Arts,Econo. Disadvantaged,Grade 6,17,53.1,4,12.5,13,40.6,13,40.6,2,6.3,32,86.5
2018-2019,2252,Amity SD 4J,1209,Amity Middle School,English Language Arts,Econo. Disadvantaged,Grade 7,9,39.1,1,4.3,8,34.8,3,13,11,47.8,23,95.8
2018-2019,2252,Amity SD 4J,1209,Amity Middle School,English Language Arts,Econo. Disadvantaged,Grade 8,9,33.3,1,3.7,8,29.6,4,14.8,14,51.9,27,93.1
2018-2019,2252,Amity SD 4J,1209,Amity Middle School,English Language Arts,Homeless,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2252,Amity SD 4J,1209,Amity Middle School,English Language Arts,Homeless,Grade 7,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,1209,Amity Middle School,English Language Arts,Homeless,Grade 8,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,1209,Amity Middle School,English Language Arts,Military-connected,Grade 6,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,1209,Amity Middle School,English Language Arts,Military-connected,Grade 7,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,1209,Amity Middle School,English Language Arts,Military-connected,Grade 8,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,1209,Amity Middle School,English Language Arts,Total Population (All Students),Grade 6,43,56.6,19,25,24,31.6,28,36.8,5,6.6,76,90.5
2018-2019,2252,Amity SD 4J,1209,Amity Middle School,English Language Arts,Total Population (All Students),Grade 7,25,44.6,4,7.1,21,37.5,10,17.9,21,37.5,56,96.6
2018-2019,2252,Amity SD 4J,1209,Amity Middle School,English Language Arts,Total Population (All Students),Grade 8,22,38.6,7,12.3,15,26.3,13,22.8,22,38.6,57,90.5
2018-2019,2252,Amity SD 4J,4505,Eola Hills Charter School,English Language Arts,Econo. Disadvantaged,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,4505,Eola Hills Charter School,English Language Arts,Econo. Disadvantaged,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,4505,Eola Hills Charter School,English Language Arts,Econo. Disadvantaged,Grade 5,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,4505,Eola Hills Charter School,English Language Arts,Econo. Disadvantaged,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2252,Amity SD 4J,4505,Eola Hills Charter School,English Language Arts,Econo. Disadvantaged,Grade 7,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,4505,Eola Hills Charter School,English Language Arts,Econo. Disadvantaged,Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2252,Amity SD 4J,4505,Eola Hills Charter School,English Language Arts,Econo. Disadvantaged,Grade HS (11),*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2252,Amity SD 4J,4505,Eola Hills Charter School,English Language Arts,Homeless,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,4505,Eola Hills Charter School,English Language Arts,Homeless,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,4505,Eola Hills Charter School,English Language Arts,Homeless,Grade 5,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,4505,Eola Hills Charter School,English Language Arts,Homeless,Grade 6,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,4505,Eola Hills Charter School,English Language Arts,Homeless,Grade 7,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,4505,Eola Hills Charter School,English Language Arts,Homeless,Grade 8,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,4505,Eola Hills Charter School,English Language Arts,Homeless,Grade HS (11),--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2252,Amity SD 4J,4505,Eola Hills Charter School,English Language Arts,Military-connected,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
